name,text,label

Tyler Clubine,You've never heard of Paul Bunyan and his blue ox Babe?! You must hate America. #yeesh,negative
Dakota Seay,If you got gray hair you should not be in the league lol,negative
Jevon,II need 6 more people to follow @FreshPirnce,positive
five foot two .,weed and brews and then every night hope the pussy nice cause ima find a bitch   beat it down and shit .,positive
Freeway CoQe tbh,Forever in love with @ninadobrev and everything she brings to the world.,positive
Mackenzie Roberts,If you're fat  then what the hell am I? You're perfect okay.,positive
kirchen,The datapad contained a sign and a countersign for each day of the month that would be used by all the major units of the Republic forces t,negative
Christian O'Keefe,By the middle of the night Ive woken up and find you asleep next to me. You havent left  youre never leaving.,positive
Mitchell LeGrand,My dog left while my brothers were playing fetch,negative
Andrew Finegan,Hmmm Smashing Pumpkins gig coming up. Haven't heard any of their stuff in the last 10 years. Are they still as awesome as they used to be?,negative
Aaron Clapp,Have you ever heard of some shit so real?,negative
Jake,I want IND to take it all.,positive
meredith hickman,i wanna have a party wit all my twitter friends and eat froyo,positive
Frank Hallam,I unlocked the Game of Thrones: The Old Gods and the New sticker on @GetGlue! http://t.co/WV3scfie,positive
Atkins,Let my sisters stay up later and trusted them to turn the tv off when their show was over...sure you can imagine how that turned out #devils,negative
Jessica Stein,Thank god I'll be waking up in sea isle instead of havertown tomorrow,positive
Katheryne(:,Smiles are like band-aids. They cover up the pain  but it still hurts.,negative
Mackenzie Roberts,If you're fat  then what the hell am I? You're perfect okay.,positive
Brett taborelli,Here it goes.,positive
Marcus Graham,Go somewhere then RT @NurseJessica_88: Im seriously needing to get out the house,negative
Becket Cerny,The worst thing you can do to yourself is complain. Don't worry  be happy!,positive
-CHARLOTTE-,Wellllll  the FAKESHOW should be cancelled lata on tonight ;),negative
cheevers,Illegitimate son of her husband  and invariably displayed towards.,negative
Kymberli Nielsen,Throw dollassss on that bittchhh,positive
CassidyNicole,The price of meat is so high Oscar Meyer just got his wiener appraised. Ha :),positive
No Name,the fuck  now I have 3 dates for the movies -_____-,positive
Amoria,Hector Flores always talks with so much passion,positive
Uma Skilletfan :3,I love you You were ready The pain is strong and urges rise But I'll see you You'll let me Your pain is gone  your hands untied,positive
Valerie Castorena,And I never Thought I would see the day we grew apart And I wanna know .,negative
brittany silva,i can talk to you about anything and you always understand.,positive
Valerie Castorena,And I never Thought I would see the day we grew apart And I wanna know .,negative
Jasmine Danielle,When I go to Zumba I pops it as hard as I can lol,positive
,Guess what nigga ? Idgaf,positive
Maya Aharon,all these fireworks for me? :o,positive
Su Yung Bitch,Oh well...I've learn from that bs.,positive
Bruna,Suck it and see you never knoooooow,positive
Martina Oehlinger,Are you pushing the river? http://t.co/QMThx7Ek,positive
demi trybala,I want to have fun this summer!! I think it'll be a good one.,positive
Chayton Rice,it's not that there's someone else  it's the fact that it's awkward.,negative
-est. o2/o7/94,. "Let all grace abound toward them  having sufficiency in all things  and an abundance for every good work." -2Corinthians 9:8,positive
Lauren Gilmore,There's never a right time to say goodbye but you know that we gotta go our separate ways.,negative
FOREVER SHENENEH,RT @SocialRejectx: they wont appreciate you till you dead or gone .. so on that note i pack my bags no note on the dresse,negative
`T a h,Gotta hit the gym up the rest of the week #frfr,positive
maddie,Messing with i'd cap that and being stupid with @allie_t13! #BondingTime,positive
Brittney,i think?,negative
